name_key,display_name,state,latitude,longitude,population
A'I'OVA NAGARA,Iowa City,IA,41.66113,-91.53017,74220
A'IBHEJA ESTETSA,Ives Estates,FL,25.96231,-80.17671,19525
A'ID'AHO PHALSA,Idaho Falls,ID,43.46658,-112.03414,59184
A'ILA BHISTA,Isla Vista,CA,34.41333,-119.86097,23096
A'ILAMORADA,Islamorada,FL,24.92430,-80.62784,7131
A'IRANADELA,Irondale,AL,33.53816,-86.70721,12423
A'IRANADELA,Irondale,GA,33.48067,-84.35881,7446
A'IYA,‘Aiea,HI,21.38222,-157.93361,9338
A'TLA'NUWA,Chattanooga,TN,35.04563,-85.30968,181099
A'UBARNA,Auburn,AL,32.60986,-85.48078,62059
A-QUE-BOGUE,Riverhead,NY,40.91704,-72.66204,13299
A2,Ann Arbor,MI,42.27756,-83.74088,117070
AARONSBURG,Aaronsburg,PA,40.89979,-77.45332,613
ABADA,Arvada,CO,39.80276,-105.08748,115368
ABADIN,Aberdeen,MD,39.50956,-76.16412,15580
ABADIN,Aberdeen,SD,45.46470,-98.48648,28102
ABADIN,Aberdeen,WA,46.97537,-123.81572,16276
ABAEDA,Arvada,CO,39.80276,-105.08748,115368
ABAIN,Irvine,CA,33.66946,-117.82311,256927
ABANA,Urbana,IL,40.11059,-88.20727,42311
ABARDEEN,Aberdeen,MD,39.50956,-76.16412,15580
ABARDEEN,Aberdeen,WA,46.97537,-123.81572,16276
ABARDIN,Aberdeen,WA,46.97537,-123.81572,16276
ABARNA,Auburn,AL,32.60986,-85.48078,62059
ABARNA,Auburn,CA,38.89657,-121.07689,13776
ABARNADELA,Auburndale,FL,28.06530,-81.78869,15035
ABATSHY JNKSHN,Apache Junction,AZ,33.41505,-111.54958,38074
ABBEVILL,Abbeville,LA,29.97465,-92.13429,12434
ABBEVILLE,Abbeville,AL,31.57184,-85.25049,2620
ABBEVILLE,Abbeville,GA,31.99212,-83.30682,2815
ABBEVILLE,Abbeville,LA,29.97465,-92.13429,12434
ABBEVILLE,Abbeville,MS,34.50316,-89.50314,435
ABBEVILLE,Abbeville,SC,34.17817,-82.37901,5191
ABBEVILLE,Wytheville,VA,36.94845,-81.08481,8115
ABBIVILL,Abbeville,SC,34.17817,-82.37901,5191
ABBL FALY,Apple Valley,CA,34.50083,-117.18588,72174
ABBOTSFORD,Abbotsford,WI,44.94636,-90.31597,2264
ABBOTT,Abbott,TX,31.88488,-97.07334,358
ABBOTT'S STATION,Zephyrhills,FL,28.23362,-82.18119,14611
ABBOTTSTOWN,Abbottstown,PA,39.88649,-76.98470,1020
ABE,Allentown,PA,40.60843,-75.49018,120207
ABEBIRU,Abbeville,SC,34.17817,-82.37901,5191
ABELL,Abell,MD,39.32595,-76.61139,975
ABENCHURA,Aventura,FL,25.95648,-80.13921,37649
ABERCROMBIE,Abercrombie,ND,46.44774,-96.73036,259
ABERDEEN,Aberdeen,FL,26.55063,-80.14866,2672
ABERDEEN,Aberdeen,ID,42.94408,-112.83833,1929
ABERDEEN,Aberdeen,IN,41.43893,-87.11142,1875
ABERDEEN,Aberdeen,MA,42.34454,-71.14950,3575
ABERDEEN,Aberdeen,MD,39.50956,-76.16412,15580
ABERDEEN,Aberdeen,MS,33.82511,-88.54366,5397
ABERDEEN,Aberdeen,NC,35.13155,-79.42948,7343
ABERDEEN,Aberdeen,OH,38.65563,-83.76103,1607
ABERDEEN,Aberdeen,SD,45.46470,-98.48648,28102
ABERDEEN,Aberdeen,WA,46.97537,-123.81572,16276
ABERDEEN GARDENS,Aberdeen Gardens,WA,47.06259,-123.77961,279
ABERDEEN PROVING GROUND,Aberdeen Proving Ground,MD,39.46686,-76.13066,2093
ABERDIN,Aberdeen,MD,39.50956,-76.16412,15580
ABERDIN,Aberdeen,MS,33.82511,-88.54366,5397
ABERDIN,Aberdeen,NC,35.13155,-79.42948,7343
ABERDIN,Aberdeen,SD,45.46470,-98.48648,28102
ABERDIN,Aberdeen,WA,46.97537,-123.81572,16276
