city_key,state,latitude,longitude,source
BRAWLEY,CA,32.97866,-115.53027,geonames
BRAZIL,IN,39.52365,-87.12502,geonames
BREAUX BRIDGE,LA,30.27353,-91.89928,geonames
BRECKENRIDGE,TX,32.75568,-98.90229,geonames
BREEZEWOOD,PA,39.99925,-78.23862,geonames
BREMEN,GA,33.72122,-85.14550,geonames
BRENHAM,TX,30.16688,-96.39774,geonames
BRENT,AL,32.93735,-87.16472,geonames
BREWERTON,NY,43.23812,-76.14076,geonames
BREWTON,AL,31.10518,-87.07219,geonames
BRIDGEPORT,CT,41.17923,-73.18945,geonames
BRIDGEPORT,MI,43.35947,-83.88164,geonames
BRIDGEPORT,TX,33.21012,-97.75476,geonames
BRIDGETON,MO,38.76700,-90.41151,geonames
BRIDGEVIEW,IL,41.75003,-87.80422,geonames
BRIDGEVILLE,DE,38.74261,-75.60437,geonames
BRIDGEWATER,MA,41.99038,-70.97504,geonames
BRIDGMAN,MI,41.94310,-86.55697,geonames
BRIGHAM CITY,UT,41.51021,-112.01550,geonames
BRIGHTON,CO,39.98526,-104.82053,geonames
BRIGHTON,IL,39.03977,-90.14066,geonames
BRILLION,WI,44.17721,-88.06427,geonames
BRINKLEY,AR,34.88787,-91.19457,geonames
BRISTOL,IN,41.72144,-85.81749,geonames
BRISTOL,TN,36.59511,-82.18874,geonames
BRISTOL,VA,36.59649,-82.18847,geonames
BRISTOL,WI,42.55891,-88.04925,geonames
BROADVIEW HEIGHTS,OH,41.31394,-81.68513,geonames
BROADWAY,VA,38.61317,-78.79891,geonames
BRODHEAD,WI,42.61834,-89.37623,geonames
BROGUE,PA,39.87177,-76.48302,geonames
BROKEN ARROW,OK,36.05260,-95.79082,geonames
BROKEN BOW,NE,41.40195,-99.63928,geonames
BROKEN BOW,OK,34.02928,-94.73910,geonames
BRONTE,TX,31.88737,-100.29176,geonames
BRONX,NY,40.84985,-73.86641,geonames
BROOKFIELD,MO,39.78447,-93.07353,geonames
BROOKHAVEN,MS,31.57906,-90.44065,geonames
BROOKINGS,SD,44.31136,-96.79839,geonames
BROOKLYN,IA,41.73361,-92.44546,geonames
BROOKPARK,OH,41.39838,-81.80458,geonames-fuzzy
BROOKSVILLE,FL,28.55554,-82.38991,geonames
BROOKVILLE,OH,39.83672,-84.41134,geonames
BROOKVILLE,PA,41.16117,-79.08309,geonames
BROUSSARD,LA,30.14715,-91.96123,geonames
BROWNFIELD,TX,33.18120,-102.27435,geonames
BROWNSVILLE,TX,25.90175,-97.49748,geonames
BROWNSVILLE,WI,43.61638,-88.49066,geonames
BROWNVILLE,ME,45.30700,-69.03337,geonames
BROWNWOOD,TX,31.70932,-98.99116,geonames
BRUCETON MILLS,WV,39.65869,-79.64116,geonames
BRUNDIDGE,AL,31.72016,-85.81606,geonames
BRUNSWICK,GA,31.15013,-81.49147,geonames
BRUSH,CO,40.25887,-103.62384,geonames
BRYAN,TX,30.67436,-96.36996,geonames
BRYANT,AR,34.59593,-92.48905,geonames
BUCKATUNNA,MS,31.53905,-88.52892,geonames
BUCKEYE,AZ,33.37032,-112.58378,geonames
BUCKHANNON,WV,38.99399,-80.23203,geonames
BUCYRUS,OH,40.80839,-82.97546,geonames
BUDA,TX,30.08521,-97.84028,geonames
BUDD LAKE,NJ,40.87121,-74.73405,geonames
BUENA VISTA,GA,32.31904,-84.51714,geonames
BUFFALO,MN,45.17191,-93.87469,geonames
BUFFALO,NY,42.88645,-78.87837,geonames
BUFFALO,TX,31.46379,-96.05802,geonames
BUFFALO,WY,44.34831,-106.69894,geonames
BULLS GAP,TN,36.25704,-83.08600,geonames
